Date;BTC
1/10/2014;338.321.014
1/11/2014;378.046.997
1/12/2014;320.192.993
1/1/2015;217.464.005
1/2/2015;254.263.000
1/3/2015;244.223.999
1/4/2015;236.145.004
1/5/2015;230.190.002
1/6/2015;263.071.991
1/7/2015;284.649.994
1/8/2015;230.056.000
1/9/2015;236.059.998
1/10/2015;314.165.985
1/11/2015;377.321.014
1/12/2015;430.566.986
1/1/2016;368.766.998
1/2/2016;437.696.991
1/3/2016;416.729.004
1/4/2016;448.317.993
1/5/2016;531.385.986
1/6/2016;673.336.975
1/7/2016;624.681.030
1/8/2016;575.471.985
1/9/2016;609.734.985
1/10/2016;700.971.985
1/11/2016;745.690.979
1/12/2016;963.742.981
1/1/2017;970.403.015
1/2/2017;1.179.969.971
1/3/2017;1.071.790.039
1/4/2017;1.347.890.015
1/5/2017;2.286.409.912
1/6/2017;2.480.840.088
1/7/2017;2.875.340.088
1/8/2017;4.703.390.137
1/9/2017;4.338.709.961
1/10/2017;6.468.399.902
1/11/2017;10.233.599.609
1/12/2017;14.156.400.391
1/1/2018;10.221.099.609
1/2/2018;10.397.900.391
1/3/2018;6.973.529.785
1/4/2018;9.240.549.805
1/5/2018;7.494.169.922
1/6/2018;6.404.000.000
1/7/2018;7.780.439.941
1/8/2018;7.037.580.078
1/9/2018;6.625.560.059
1/10/2018;6.317.609.863
1/11/2018;4.017.268.555
1/12/2018;3.742.700.439
1/1/2019;3.457.792.725
1/2/2019;3.854.785.400
1/3/2019;4.105.404.297
1/4/2019;5.350.726.563
1/5/2019;8.574.501.953
1/6/2019;10.817.155.273
1/7/2019;10.085.627.930
1/8/2019;9.630.664.063
1/9/2019;8.293.868.164
1/10/2019;9.199.584.961
1/11/2019;7.569.629.883
1/12/2019;7.193.599.121
1/1/2020;9.350.529.297
1/2/2020;8.599.508.789
1/3/2020;6.438.644.531
1/4/2020;8.658.553.711
1/5/2020;9.461.058.594
1/6/2020;9.137.993.164
1/7/2020;11.323.466.797
1/8/2020;11.680.820.313
1/9/2020;10.784.491.211
1/10/2020;13.780.995.117
1/11/2020;19.625.835.938
1/12/2020;29.001.720.703
1/1/2021;33.114.359.375
1/2/2021;45.137.769.531
1/3/2021;58.918.832.031
1/4/2021;57.750.175.781
1/5/2021;37.332.855.469
1/6/2021;35.040.835.938
1/7/2021;41.626.195.313
1/8/2021;47.166.687.500
1/9/2021;43.790.894.531
1/10/2021;61.318.957.031
1/11/2021;57.005.425.781
1/12/2021;46.306.445.313
1/1/2022;38.483.125.000
1/2/2022;43.193.234.375
1/3/2022;45.538.675.781
1/4/2022;37.714.875.000
1/5/2022;31.792.310.547
1/6/2022;19.784.726.563
