Date;Open;High;Low;Close;Adj Close;Volume
1/1/2015;320.434.998;320.434.998;171.509.995;217.464.005;217.464.005;1098811912
1/2/2015;216.867.004;265.610.992;212.014.999;254.263.000;254.263.000;711518700
1/3/2015;254.283.005;300.044.006;236.514.999;244.223.999;244.223.999;959098300
1/4/2015;244.223.007;261.798.004;214.873.993;236.145.004;236.145.004;672338700
1/5/2015;235.938.995;247.804.001;228.572.998;230.190.002;230.190.002;568122600
1/6/2015;230.233.002;267.867.004;221.296.005;263.071.991;263.071.991;629780200
1/7/2015;263.345.001;314.394.012;253.505.005;284.649.994;284.649.994;999892200
1/8/2015;284.686.005;285.714.996;199.567.001;230.056.000;230.056.000;905192300
1/9/2015;230.255.997;259.182.007;225.117.004;236.059.998;236.059.998;603623900
1/10/2015;236.003.998;334.169.006;235.615.997;314.165.985;314.165.985;953279500
1/11/2015;315.005.005;495.562.012;300.997.009;377.321.014;377.321.014;2177623396
1/12/2015;377.414.001;469.102.997;349.464.996;430.566.986;430.566.986;2096250000
1/1/2016;430.721.008;462.933.990;354.914.001;368.766.998;368.766.998;1990880304
1/2/2016;369.350.006;448.045.990;367.957.001;437.696.991;437.696.991;1876238692
1/3/2016;437.916.992;439.653.015;394.035.004;416.729.004;416.729.004;2332852776
1/4/2016;416.760.010;467.964.996;415.830.994;448.317.993;448.317.993;1811475204
1/5/2016;448.484.009;553.960.022;437.389.008;531.385.986;531.385.986;2234432796
1/6/2016;531.106.995;777.989.990;525.635.986;673.336.975;673.336.975;4749702740
1/7/2016;672.515.015;704.968.018;611.833.984;624.681.030;624.681.030;3454186204
1/8/2016;624.601.990;626.119.019;531.333.984;575.471.985;575.471.985;2686220180
1/9/2016;575.546.021;628.817.993;570.810.974;609.734.985;609.734.985;2004401400
1/10/2016;609.929.016;720.401.978;609.479.004;700.971.985;700.971.985;2115443796
1/11/2016;701.336.975;756.237.000;678.156.006;745.690.979;745.690.979;2635773092
1/12/2016;746.046.021;979.396.973;746.046.021;963.742.981;963.742.981;3556763800
1/1/2017;963.658.020;1.191.099.976;755.755.981;970.403.015;970.403.015;5143971692
1/2/2017;970.940.979;1.200.390.015;946.690.979;1.179.969.971;1.179.969.971;4282761200
1/3/2017;1.180.040.039;1.280.310.059;903.713.013;1.071.790.039;1.071.790.039;10872455960
1/4/2017;1.071.709.961;1.347.910.034;1.061.089.966;1.347.890.015;1.347.890.015;9757448112
1/5/2017;1.348.300.049;2.763.709.961;1.348.300.049;2.286.409.912;2.286.409.912;34261856864
1/6/2017;2.288.330.078;2.999.909.912;2.212.959.961;2.480.840.088;2.480.840.088;44478140928
1/7/2017;2.492.600.098;2.916.139.893;1.843.030.029;2.875.340.088;2.875.340.088;32619956992
1/8/2017;2.871.300.049;4.736.049.805;2.668.590.088;4.703.390.137;4.703.390.137;63548016640
1/9/2017;4.701.759.766;4.975.040.039;2.946.620.117;4.338.709.961;4.338.709.961;55700949056
1/10/2017;4.341.049.805;6.470.430.176;4.164.049.805;6.468.399.902;6.468.399.902;58009357952
1/11/2017;6.440.970.215;11.517.400.391;5.519.009.766;10.233.599.609;10.233.599.609;1,41E+11
1/12/2017;10.198.599.609;20.089.000.000;9.694.650.391;14.156.400.391;14.156.400.391;4,10E+11
1/1/2018;14.112.200.195;17.712.400.391;9.402.290.039;10.221.099.609;10.221.099.609;4,16E+11
1/2/2018;10.237.299.805;11.958.500.000;6.048.259.766;10.397.900.391;10.397.900.391;2,30E+11
1/3/2018;10.385.000.000;11.704.099.609;6.683.930.176;6.973.529.785;6.973.529.785;1,94E+11
1/4/2018;7.003.060.059;9.745.320.313;6.526.870.117;9.240.549.805;9.240.549.805;1,97E+11
1/5/2018;9.251.469.727;9.964.500.000;7.090.680.176;7.494.169.922;7.494.169.922;1,98E+11
1/6/2018;7.500.700.195;7.754.890.137;5.826.410.156;6.404.000.000;6.404.000.000;1,30E+11
1/7/2018;6.411.680.176;8.424.269.531;6.136.419.922;7.780.439.941;7.780.439.941;1,41E+11
1/8/2018;7.769.040.039;7.769.040.039;5.971.049.805;7.037.580.078;7.037.580.078;1,32E+11
1/9/2018;7.044.810.059;7.388.430.176;6.197.520.020;6.625.560.059;6.625.560.059;1,30E+11
1/10/2018;6.619.850.098;6.965.060.059;6.236.470.215;6.317.609.863;6.317.609.863;1,18E+11
1/11/2018;6.318.140.137;6.552.160.156;3.585.060.059;4.017.268.555;4.017.268.555;1,58E+11
1/12/2018;4.024.464.355;4.309.377.441;3.191.303.467;3.742.700.439;3.742.700.439;1,69E+11
1/1/2019;3.746.713.379;4.109.020.996;3.400.819.824;3.457.792.725;3.457.792.725;1,67E+11
1/2/2019;3.460.547.119;4.210.641.602;3.391.023.682;3.854.785.400;3.854.785.400;1,99E+11
1/3/2019;3.853.757.080;4.296.806.641;3.733.749.756;4.105.404.297;4.105.404.297;2,98E+11
1/4/2019;4.105.362.305;5.642.044.434;4.096.901.367;5.350.726.563;5.350.726.563;4,45E+11
1/5/2019;5.350.914.551;9.008.314.453;5.347.645.996;8.574.501.953;8.574.501.953;7,24E+11
1/6/2019;8.573.839.844;13.796.489.258;7.564.488.770;10.817.155.273;10.817.155.273;6,76E+11
1/7/2019;10.796.930.664;13.129.529.297;9.163.134.766;10.085.627.930;10.085.627.930;6,76E+11
1/8/2019;10.077.442.383;12.273.821.289;9.421.629.883;9.630.664.063;9.630.664.063;5,34E+11
1/9/2019;9.630.592.773;10.898.761.719;7.830.758.789;8.293.868.164;8.293.868.164;4,81E+11
1/10/2019;8.299.720.703;10.021.744.141;7.446.988.770;9.199.584.961;9.199.584.961;5,95E+11
1/11/2019;9.193.992.188;9.505.051.758;6.617.166.992;7.569.629.883;7.569.629.883;6,77E+11
1/12/2019;7.571.616.211;7.743.431.641;6.540.049.316;7.193.599.121;7.193.599.121;6,34E+11
1/1/2020;7.194.892.090;9.553.125.977;6.914.996.094;9.350.529.297;9.350.529.297;8,53E+11
1/2/2020;9.346.357.422;10.457.626.953;8.492.932.617;8.599.508.789;8.599.508.789;1,16E+12
1/3/2020;8.599.758.789;9.167.695.313;4.106.980.957;6.438.644.531;6.438.644.531;1,29E+12
1/4/2020;6.437.319.336;9.440.650.391;6.202.373.535;8.658.553.711;8.658.553.711;1,16E+12
1/5/2020;8.672.782.227;9.996.743.164;8.374.323.242;9.461.058.594;9.461.058.594;1,29E+12
1/6/2020;9.463.605.469;10.199.565.430;8.975.525.391;9.137.993.164;9.137.993.164;6,51E+11
1/7/2020;9.145.985.352;11.415.864.258;8.977.015.625;11.323.466.797;11.323.466.797;5,46E+11
1/8/2020;11.322.570.313;12.359.056.641;11.012.415.039;11.680.820.313;11.680.820.313;7,08E+11
1/9/2020;11.679.316.406;12.067.081.055;9.916.493.164;10.784.491.211;10.784.491.211;1,08E+12
1/10/2020;10.795.254.883;14.028.213.867;10.416.689.453;13.780.995.117;13.780.995.117;1,05E+12
1/11/2020;13.780.995.117;19.749.263.672;13.243.160.156;19.625.835.938;19.625.835.938;1,09E+12
1/12/2020;19.633.769.531;29.244.876.953;17.619.533.203;29.001.720.703;29.001.720.703;1,21E+12
1/1/2021;28.994.009.766;41.946.738.281;28.722.755.859;33.114.359.375;33.114.359.375;2,15E+12
1/2/2021;33.114.578.125;58.330.570.313;32.384.228.516;45.137.769.531;45.137.769.531;2,27E+12
1/3/2021;45.159.503.906;61.683.863.281;45.115.093.750;58.918.832.031;58.918.832.031;1,68E+12
1/4/2021;58.926.562.500;64.863.097.656;47.159.484.375;57.750.175.781;57.750.175.781;1,84E+12
1/5/2021;57.714.664.063;59.519.355.469;30.681.496.094;37.332.855.469;37.332.855.469;1,98E+12
1/6/2021;37.293.792.969;41.295.269.531;28.893.621.094;35.040.835.938;35.040.835.938;1,19E+12
1/7/2021;35.035.984.375;42.235.546.875;29.360.955.078;41.626.195.313;41.626.195.313;8,19E+11
1/8/2021;41.460.843.750;50.482.078.125;37.458.003.906;47.166.687.500;47.166.687.500;1,01E+12
1/9/2021;47.099.773.438;52.853.765.625;39.787.609.375;43.790.894.531;43.790.894.531;1,10E+12
1/10/2021;43.816.742.188;66.930.390.625;43.320.023.438;61.318.957.031;61.318.957.031;1,15E+12
1/11/2021;61.320.449.219;68.789.625.000;53.569.765.625;57.005.425.781;57.005.425.781;1,05E+12
1/12/2021;56.907.964.844;59.041.683.594;42.874.617.188;46.306.445.313;46.306.445.313;9,57E+11
1/1/2022;46.311.746.094;47.881.406.250;33.184.058.594;38.483.125.000;38.483.125.000;9,24E+11
1/2/2022;38.481.765.625;45.661.171.875;34.459.218.750;43.193.234.375;43.193.234.375;6,71E+11
1/3/2022;43.194.503.906;48.086.835.938;37.260.203.125;45.538.675.781;45.538.675.781;8,31E+11
1/4/2022;45.554.164.063;47.313.476.563;37.697.941.406;37.714.875.000;37.714.875.000;8,30E+11
1/5/2022;37.713.265.625;39.902.949.219;26.350.490.234;31.792.310.547;31.792.310.547;1,11E+12
1/6/2022;31.792.554.688;31.957.285.156;17.708.623.047;19.784.726.563;19.784.726.563;9,24E+11
